    x:          approx:          exact:            relative error(log10)
     0.19500000     0.66990860     0.66273478     -1.9655891
     0.19600000     0.67031475     0.66315048     -1.9664399
     0.19700000     0.67070681     0.66355209     -1.9672820
     0.19800000     0.67108493     0.66393975     -1.9681156
     0.19900000     0.67144924     0.66431361     -1.9689408
     0.20000000     0.67179988     0.66467380     -1.9697578
     0.20100000     0.67213698     0.66502045     -1.9705665
     0.20200000     0.67246069     0.66535371     -1.9713671
     0.20300000     0.67277113     0.66567370     -1.9721597
     0.20400000     0.67306844     0.66598055     -1.9729445
     0.20500000     0.67335275     0.66627440     -1.9737215
     0.20600000     0.67362418     0.66655538     -1.9744907
     0.20700000     0.67388287     0.66682362     -1.9752524
     0.20800000     0.67412893     0.66707923     -1.9760066
     0.20900000     0.67436251     0.66732235     -1.9767534
     0.21000000     0.67458372     0.66755311     -1.9774929
     0.21100000     0.67479268     0.66777161     -1.9782251
     0.21200000     0.67498951     0.66797800     -1.9789502
     0.21300000     0.67517435     0.66817238     -1.9796683
     0.21400000     0.67534730     0.66835487     -1.9803794
     0.21500000     0.67550848     0.66852560     -1.9810837
     0.21600000     0.67565802     0.66868469     -1.9817811
     0.21700000     0.67579602     0.66883223     -1.9824719
     0.21800000     0.67592261     0.66896837     -1.9831560
     0.21900000     0.67603789     0.66909319     -1.9838336
     0.22000000     0.67614198     0.66920683     -1.9845047
     0.22100000     0.67623499     0.66930938     -1.9851694
     0.22200000     0.67631703     0.66940097     -1.9858279
     0.22300000     0.67638820     0.66948169     -1.9864801
     0.22400000     0.67644863     0.66955167     -1.9871261
     0.22500000     0.67649841     0.66961099     -1.9877661
     0.22600000     0.67653765     0.66965978     -1.9884000
     0.22700000     0.67656645     0.66969813     -1.9890280
     0.22800000     0.67658493     0.66972614     -1.9896501
     0.22900000     0.67659317     0.66974393     -1.9902665
     0.23000000     0.67659129     0.66975160     -1.9908771
     0.23100000     0.67657938     0.66974924     -1.9914821
     0.23200000     0.67655755     0.66973695     -1.9920814
     0.23300000     0.67652589     0.66971483     -1.9926752
     0.23400000     0.67648450     0.66968299     -1.9932636
     0.23500000     0.67643348     0.66964151     -1.9938466
     0.23600000     0.67637292     0.66959049     -1.9944242
     0.23700000     0.67630292     0.66953003     -1.9949966
     0.23800000     0.67622357     0.66946023     -1.9955637
     0.23900000     0.67613496     0.66938117     -1.9961257
     0.24000000     0.67603719     0.66929294     -1.9966826
     0.24100000     0.67593035     0.66919565     -1.9972345
